553.760       1       5   94932 16/03/2020 15:25:38
553.635       0       0   94841 16/03/2020 15:26:00
553.510       0       2   95369 16/03/2020 15:26:22
553.385       0       0   94774 16/03/2020 15:26:44
553.260       0       0   95846 16/03/2020 15:27:06
553.135       0       0   95247 16/03/2020 15:27:28
553.010       2       2   94909 16/03/2020 15:27:50
552.885       0       0   94651 16/03/2020 15:28:12
552.760       0       0   94618 16/03/2020 15:28:34
552.635       0       0   94763 16/03/2020 15:28:56
552.510       0       0   94351 16/03/2020 15:29:18
552.386       1       2   94674 16/03/2020 15:29:40
552.261       0       0   94465 16/03/2020 15:30:02
552.136       0       0   94946 16/03/2020 15:30:24
552.011       0       0   94094 16/03/2020 15:30:46
551.886       0       0   93574 16/03/2020 15:31:08
551.761       0       2   94323 16/03/2020 15:31:30
551.636       0       0   94977 16/03/2020 15:31:52
551.511       0       0   95019 16/03/2020 15:32:14
551.386       0       0   94390 16/03/2020 15:32:36
551.261       0       0   94451 16/03/2020 15:32:58
551.136       2       5   93695 16/03/2020 15:33:20
551.011       0       0   93483 16/03/2020 15:33:42
550.886       0       0   94694 16/03/2020 15:34:04
550.761       0       0   94147 16/03/2020 15:34:26
550.636       0       2   94195 16/03/2020 15:34:48
550.511       0       0   93938 16/03/2020 15:35:10
550.386       0       0   94124 16/03/2020 15:35:32
550.261       0       0   94019 16/03/2020 15:35:54
550.136       0       0   94764 16/03/2020 15:36:17
550.011       0       0   94274 16/03/2020 15:36:39
549.886       0       0   94363 16/03/2020 15:37:01
549.761       0       2   94858 16/03/2020 15:37:23
549.636       0       0   94421 16/03/2020 15:37:45
549.511       0       0   94346 16/03/2020 15:38:07
549.386       0       0   95082 16/03/2020 15:38:29
549.261       1       2   95245 16/03/2020 15:38:51
549.136       0       0   95436 16/03/2020 15:39:13
549.011       0       0   94929 16/03/2020 15:39:35
548.886       0       2   95274 16/03/2020 15:39:57
548.761       0       0   94824 16/03/2020 15:40:19
548.636       0       2   94707 16/03/2020 15:40:41
548.511       0       0   95204 16/03/2020 15:41:03
548.386       0       0   95607 16/03/2020 15:41:25
548.261       0       0   95089 16/03/2020 15:41:47
548.137       0       2   95571 16/03/2020 15:42:09
548.012       0       0   95470 16/03/2020 15:42:31
547.887       0       0   96160 16/03/2020 15:42:53
547.762       0       2   95450 16/03/2020 15:43:15
547.637       0       0   95794 16/03/2020 15:43:37
547.512       0       0   96056 16/03/2020 15:43:59
