1103.634       0       0  127977
1103.384      17      21  128191
1103.134       0       0  128036
1102.885       0       2  128077
1102.635       1       0  128863
1102.385      30      33  128307
1102.135       0       0  127898
1101.885       0       0  128169
1101.635      28      31  127737
1101.385      27      31  127854
1101.135       0       0  127821
1100.885      27      29  127376
1100.635       0       1  127600
1100.385       0       1  127607
1100.135      27      29  126988
1099.885       0       0  127115
1099.635       0       0  126511
1099.385      32      32  125904
1099.135      77      60  126218
1098.885       0       0  125353
1098.635       2       3  125065
1098.385       0       0  125503
1098.136       0       0  125423
1097.886      33      36  124853
1097.636       0       0  125039
1097.386      11      11  124495
1097.136       0       0  123999
1096.886       1       3  124492
1096.636      23      24  124091
1096.386       0       0  124298
1096.136      30      30  124637
1095.886       0       0  123496
1095.636       0       0  124661
1095.386       0       2  124255
1095.136       0       0  123645
1094.886       0       0  123783
1094.636       0       2  123726
1094.386       0       0  123524
1094.136       1       0  124167
1093.887       0       0  123905
1093.637       0       0  123565
1093.387       1       0  124071
1093.137       5       4  123185
1092.887       0       0  123627
1092.637       0       0  123612
1092.387      13      10  123038
1092.137       0       0  123114
1091.887      64      71  122482
1091.637       0       2  122626
1091.387       0       0  122324
1091.137      22      25  122801
1090.887       2       3  122155
1090.637       0       1  121697
1090.387       0       2  121823
1090.137       0       0  122442
1089.887       0       0  121364
1089.638       0       0  121118
1089.388       0       0  121320
1089.138       0       0  121260
1088.888      44      50  121314
1088.638       0       0  121017
1088.388       0       0  120150
1088.138      27      27  120047
1087.888       0       0  120539
1087.638       1       2  120517
1087.388      21      22  120176
1087.138       0       0  119984
1086.888      11      12  119969
1086.638       0       0  119166
1086.388       0       0  119471
1086.138      25      28  120160
1085.888       1       0  119212
1085.638      29      33  118926
1085.389       0       0  119945
1085.139       0       0  119560
1084.889       0       0  119411
1084.639       0       0  119560
1084.389      13      14  119063
1084.139       0       0  118899
1083.889       0       0  119261
1083.639       0       0  118637
1083.389       0       1  119154
1083.139       0       0  119531
1082.889      35      38  118779
1082.639       0       0  118784
1082.389       0       0  118374
1082.139       0       0  118731
1081.889       0       0  117720
1081.639      41      45  118305
1081.389       2       3  117829
1081.140       0       0  118041
1080.890       0       0  118013
1080.640      25      28  117612
1080.390       9      12  118479
1080.140       1       0  118170
1079.890       0       0  117787
1079.640       0       0  117611
1079.390      35      39  117739
1079.140       0       2  118160
1078.890       0       0  117438
1078.640       0       0  117424
1078.390      28      29  116790
1078.140       0       0  117840
1077.890       0       0  117058
1077.640      84      72  117451
1077.390      20      23  116855
1077.140       0       0  116417
1076.891       2       2  116849
1076.641       0       0  116716
1076.391      31      34  116841
1076.141       1       0  117476
1075.891       0       0  116800
1075.641       0       0  117558
1075.391       0       0  116511
1075.141       0       0  116954
1074.891       0       0  117356
1074.641      21      21  116613
1074.391       0       0  117071
1074.141       0       0  116780
1073.891       0       0  117133
1073.641      28      30  117289
1073.391       0       0  117067
1073.141       9      12  116709
1072.891       0       0  117060
1072.641      22      25  116379
1072.391       0       0  117326
1072.142       0       0  116707
1071.892      29      27  116376
1071.642       0       0  117234
1071.392       0       0  116844
1071.142       0       0  116065
1070.892     545     522  117400
1070.642      16      18  115983
1070.392      14      14  116325
1070.142       0       2  116527
1069.892       0       0  116400
1069.642      29      33  116457
1069.392       0       0  116274
1069.142       0       0  116033
1068.892       0       0  116212
1068.642       0       0  115955
1068.392      16      17  115903
1068.142       0       0  116394
1067.892       0       0  116165
1067.643       0       0  115979
1067.393      26      29  116562
1067.143       0       0  116247
1066.893       0       0  116286
1066.643       0       0  115674
1066.393      24      25  116432
1066.143       0       0  116288
1065.893       0       0  116232
1065.643       0       1  116824
1065.393       9      11  115896
1065.143      16      17  116346
1064.893      21      22  115732
1064.643       0       0  115894
1064.393       0       0  116171
1064.143       0       0  116066
1063.893      25      27  116841
1063.643       0       0  115981
1063.394       2       3  116232
1063.144       0       0  116100
1062.894      24      25  116157
1062.644       0       0  115533
1062.394       0       0  116697
1062.144       0       0  116051
1061.894      17      19  116256
1061.644      22      24  115561
1061.394       0       0  115599
1061.144       0       0  116021
1060.894      26      30  116024
1060.644       0       0  116865
1060.394       0       0  116019
1060.144       1       4  115488
1059.894      26      28  115522
1059.644       0       0  115480
1059.394       0       0  115248
1059.145       0       0  115251
1058.895       0       0  115033
1058.645      24      26  115714
1058.395       0       0  115675
1058.145       0       0  114299
1057.895       0       0  115103
1057.645       0       0  114560
1057.395       1       0  114469
1057.145      25      29  114192
1056.895       0       0  114818
1056.645      22      23  114643
1056.395       0       0  114193
1056.145      24      25  114196
1055.895      96      82  114152
1055.645       0       0  114410
1055.395       0       1  114329
1055.145      16      19  113897
1054.896       0       0  113857
1054.646       0       0  114248
1054.396       0       0  113758
1054.146       1       3  112965
1053.896       0       0  113523
1053.646       0       0  112798
1053.396      11      11  113184
1053.146       0       1  112901
1052.896       0       0  114129
1052.646       0       0  113600
1052.396       0       0  113478
1052.146      21      24  113004
1051.896       0       0  112800
1051.646       0       1  112364
1051.396      15      19  112821
1051.146       1       0  113242
1050.896       0       0  113022
1050.646       0       0  112751
1050.396      23      25  113256
1050.147       0       0  113270
1049.897       0       0  112836
1049.647       0       0  113319
1049.397      88      77  113262
1049.147       0       0  113295
1048.897       0       0  113028
1048.647       0       0  112914
1048.397      23      26  113532
1048.147       2       2  112746
1047.897       0       0  112710
1047.647       0       0  113583
1047.397       0       0  113520
1047.147       0       0  113531
1046.897       0       0  113495
1046.647      22      26  113024
1046.397       0       0  112976
1046.147       0       0  113429
1045.898       2       0  112655
1045.648       0       0  113166
