dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
   70.0010     0.0060    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1511     0.0018     0.0018     0.1868     0.0073     0.0071    10.5000     0.6900     0.6900    51.6220     0.0830     0.0830     0.0000     0.0000     0.0000   159.8600     0.2500     0.2500     2.8050     0.0370     0.0360   -90.0000     0.0000     0.0000   159.3800     0.2500     0.2400     3.1220     0.0370     0.0370   180.0000     0.0000     0.0000     0.9795     0.0022     0.0022     3.1700     0.0370     0.0370    90.0000     0.0000     0.0000     0.9592     0.0022     0.0022     2.9400     0.0370     0.0360  3617.3999  3648.0000     0.9916  2727.0000     0.1404     0.0018     0.2115     0.6636     0.0085
   70.0020     0.0040    49.0000     9.9429    16.4945    -0.0100    -0.0100   -10.0000     0.1539     0.0018     0.0018     0.1704     0.0068     0.0067    11.1600     0.6600     0.6700    51.7680     0.0780     0.0780     0.0000     0.0000     0.0000   157.4500     0.2500     0.2500     3.0260     0.0370     0.0370   -90.0000     0.0000     0.0000   157.9400     0.2400     0.2400     3.1500     0.0370     0.0370   180.0000     0.0000     0.0000     0.9872     0.0022     0.0022     3.3030     0.0370     0.0370    90.0000     0.0000     0.0000     0.9601     0.0022     0.0022     3.1450     0.0370     0.0360  3723.8999  3648.0000     1.0208  2728.0000     0.1445     0.0018     0.2185     0.6613     0.0082
   70.0010     0.0070    49.0000    12.9395    16.4945    -0.0100    -0.0100   -10.0000     0.1645     0.0018     0.0018     0.1802     0.0065     0.0064    10.6400     0.6300     0.6300    51.8270     0.0750     0.0760     0.0000     0.0000     0.0000   157.0000     0.2500     0.2400     2.9370     0.0360     0.0370   -90.0000     0.0000     0.0000   157.9900     0.2500     0.2400     3.1350     0.0370     0.0370   180.0000     0.0000     0.0000     1.0022     0.0022     0.0023     3.1020     0.0370     0.0370    90.0000     0.0000     0.0000     0.9685     0.0022     0.0022     2.9830     0.0370     0.0360  3645.1001  3648.0000     0.9992  2729.0000     0.1558     0.0018     0.2237     0.6962     0.0080
   70.0000     0.0030    49.0000    15.9446    16.4945    -0.0100    -0.0100   -10.0000     0.1677     0.0018     0.0018     0.1823     0.0066     0.0065    10.9900     0.6200     0.6200    51.7420     0.0750     0.0750     0.0000     0.0000     0.0000   153.6300     0.2400     0.2400     3.0160     0.0360     0.0370   -90.0000     0.0000     0.0000   155.6400     0.2400     0.2400     3.1690     0.0370     0.0370   180.0000     0.0000     0.0000     0.9973     0.0023     0.0023     3.2910     0.0370     0.0370    90.0000     0.0000     0.0000     0.9617     0.0022     0.0022     3.0520     0.0360     0.0360  3663.8000  3648.0000     1.0043  2730.0000     0.1591     0.0018     0.2260     0.7040     0.0080
   70.0010     0.0050    49.0000    17.9424    16.4945    -0.0100    -0.0100   -10.0000     0.1662     0.0018     0.0018     0.1690     0.0062     0.0061    11.0500     0.6100     0.6100    51.9680     0.0700     0.0700     0.0000     0.0000     0.0000   158.6300     0.2500     0.2500     2.5320     0.0360     0.0360   -90.0000     0.0000     0.0000   159.3500     0.2400     0.2400     2.7630     0.0360     0.0360   180.0000     0.0000     0.0000     0.9975     0.0022     0.0022     2.7740     0.0370     0.0360    90.0000     0.0000     0.0000     0.9680     0.0022     0.0022     2.5610     0.0360     0.0360  3713.5000  3648.0000     1.0180  2731.0000     0.1577     0.0018     0.2268     0.6951     0.0079
   70.0000     0.0050    49.0000    19.9404    16.4945    -0.0100    -0.0100   -10.0000     0.1693     0.0018     0.0018     0.1631     0.0060     0.0060    14.4200     0.5900     0.5900    51.9850     0.0680     0.0680     0.0000     0.0000     0.0000   157.6800     0.2500     0.2500     2.7300     0.0360     0.0360   -90.0000     0.0000     0.0000   158.0500     0.2400     0.2400     3.1140     0.0370     0.0370   180.0000     0.0000     0.0000     0.9931     0.0022     0.0022     3.0850     0.0370     0.0370    90.0000     0.0000     0.0000     0.9710     0.0022     0.0022     2.7760     0.0360     0.0360  3740.0000  3648.0000     1.0252  2732.0000     0.1608     0.0018     0.2273     0.7074     0.0079
   70.0000     0.0040    49.0000     6.0198    13.4973    -0.0090    -0.0080   -10.0000     0.1394     0.0018     0.0018     0.1802     0.0077     0.0076    12.2400     0.7400     0.7400    51.7590     0.0880     0.0880     0.0000     0.0000     0.0000   154.4500     0.2400     0.2400     2.8460     0.0360     0.0360   -90.0000     0.0000     0.0000   160.6500     0.2500     0.2500     2.8920     0.0370     0.0370   180.0000     0.0000     0.0000     1.0298     0.0023     0.0023     3.1030     0.0370     0.0370    90.0000     0.0000     0.0000     0.9341     0.0021     0.0021     2.8240     0.0360     0.0360  3700.6001  3648.0000     1.0144  2733.0000     0.1271     0.0018     0.1870     0.6797     0.0096
   70.0010     0.0050    49.0000     5.0207    13.4973    -0.0090    -0.0080   -10.0000     0.1355     0.0018     0.0018     0.1776     0.0077     0.0076    12.5100     0.7700     0.7700    51.7230     0.0910     0.0920     0.0000     0.0000     0.0000   155.0200     0.2400     0.2400     2.7920     0.0360     0.0360   -90.0000     0.0000     0.0000   159.6300     0.2500     0.2400     2.9560     0.0370     0.0370   180.0000     0.0000     0.0000     1.0262     0.0023     0.0023     3.0950     0.0370     0.0370    90.0000     0.0000     0.0000     0.9378     0.0021     0.0021     2.7520     0.0350     0.0360  3674.3999  3648.0000     1.0072  2734.0000     0.1215     0.0018     0.1802     0.6743     0.0100
   70.0000     0.0050    49.0000     4.0219    13.4973    -0.0090    -0.0080   -10.0000     0.1341     0.0018     0.0018     0.1885     0.0081     0.0078    12.1500     0.7900     0.7900    51.7540     0.0970     0.0970     0.0000     0.0000     0.0000   155.2000     0.2500     0.2400     2.8180     0.0360     0.0360   -90.0000     0.0000     0.0000   160.9000     0.2400     0.2500     2.9480     0.0370     0.0360   180.0000     0.0000     0.0000     1.0258     0.0023     0.0023     3.1520     0.0370     0.0370    90.0000     0.0000     0.0000     0.9308     0.0021     0.0021     2.7950     0.0360     0.0360  3687.1001  3648.0000     1.0107  2735.0000     0.1166     0.0018     0.1701     0.6854     0.0106
   70.0010     0.0040    49.0000     3.0227    13.4973    -0.0090    -0.0080   -10.0000     0.1323     0.0019     0.0019     0.2051     0.0086     0.0086    12.4500     0.8200     0.8200    51.4300     0.1000     0.1000     0.0000     0.0000     0.0000   153.6600     0.2400     0.2400     2.8130     0.0360     0.0360   -90.0000     0.0000     0.0000   160.1400     0.2500     0.2400     3.0400     0.0370     0.0370   180.0000     0.0000     0.0000     1.0352     0.0023     0.0023     3.2230     0.0370     0.0370    90.0000     0.0000     0.0000     0.9312     0.0021     0.0021     2.7450     0.0360     0.0360  3528.2000  3648.0000     0.9672  2736.0000     0.1078     0.0019     0.1547     0.6968     0.0123
