dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
  120.0000     0.0100    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1640     0.0015     0.0015     0.1357     0.0048     0.0047    12.1900     0.5200     0.5100    51.0430     0.0560     0.0560     0.0000     0.0000     0.0000   212.5000     0.2900     0.2800     3.6320     0.0420     0.0420   -90.0000     0.0000     0.0000   212.3700     0.2800     0.2800     3.7440     0.0420     0.0420   180.0000     0.0000     0.0000     0.9875     0.0019     0.0019     3.9130     0.0420     0.0420    90.0000     0.0000     0.0000     0.9638     0.0019     0.0019     3.5900     0.0420     0.0410  3619.8000  3648.0000     0.9923  2684.0000     0.1533     0.0015     0.2115     0.7246     0.0071
  110.0000     0.0100    49.0000     7.9448    16.4944    -0.0100    -0.0100   -10.0000     0.1614     0.0015     0.0015     0.1487     0.0051     0.0051    11.4600     0.5300     0.5300    51.3490     0.0590     0.0600     0.0000     0.0000     0.0000   212.9200     0.2900     0.2800     3.6480     0.0420     0.0420   -90.0000     0.0000     0.0000   212.4600     0.2800     0.2800     3.9280     0.0420     0.0420   180.0000     0.0000     0.0000     0.9837     0.0019     0.0019     4.0520     0.0420     0.0420    90.0000     0.0000     0.0000     0.9610     0.0019     0.0019     3.6420     0.0420     0.0410  3689.7000  3648.0000     1.0114  2685.0000     0.1507     0.0015     0.2115     0.7123     0.0071
   99.9970     0.0100    49.0000     7.9448    16.4944    -0.0100    -0.0100   -10.0000     0.1630     0.0015     0.0015     0.1578     0.0052     0.0052     9.7900     0.5300     0.5300    51.4070     0.0600     0.0600     0.0000     0.0000     0.0000   212.5700     0.2900     0.2800     3.6500     0.0420     0.0420   -90.0000     0.0000     0.0000   212.4600     0.2800     0.2800     3.8100     0.0420     0.0420   180.0000     0.0000     0.0000     0.9917     0.0019     0.0019     3.9110     0.0420     0.0420    90.0000     0.0000     0.0000     0.9597     0.0019     0.0019     3.7150     0.0420     0.0410  3609.2000  3648.0000     0.9894  2686.0000     0.1523     0.0015     0.2115     0.7199     0.0071
   94.9980     0.0090    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.1584     0.0013     0.0013     0.1463     0.0046     0.0045    10.4100     0.4900     0.4900    51.5170     0.0550     0.0550     0.0000     0.0000     0.0000   263.5100     0.3200     0.3200     4.8870     0.0470     0.0480   -90.0000     0.0000     0.0000   262.3700     0.3100     0.3100     5.1350     0.0470     0.0470   180.0000     0.0000     0.0000     0.9844     0.0017     0.0017     5.2950     0.0480     0.0470    90.0000     0.0000     0.0000     0.9628     0.0017     0.0017     4.9420     0.0470     0.0470  3736.2000  3648.0000     1.0242  2687.0000     0.1477     0.0013     0.2115     0.6982     0.0061
   90.0000     0.0100    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.1573     0.0014     0.0013     0.1542     0.0048     0.0047    11.4100     0.5000     0.4900    51.4900     0.0560     0.0560     0.0000     0.0000     0.0000   265.2800     0.3200     0.3200     4.6540     0.0470     0.0470   -90.0000     0.0000     0.0000   264.2500     0.3100     0.3200     5.0640     0.0470     0.0470   180.0000     0.0000     0.0000     0.9857     0.0017     0.0017     5.0570     0.0480     0.0470    90.0000     0.0000     0.0000     0.9641     0.0017     0.0017     4.6860     0.0470     0.0460  3716.3000  3648.0000     1.0187  2688.0000     0.1466     0.0014     0.2115     0.6930     0.0066
   84.9900     0.0200    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1596     0.0014     0.0014     0.1782     0.0051     0.0050    12.4800     0.5000     0.5000    51.4440     0.0600     0.0600     0.0000     0.0000     0.0000   264.4500     0.3200     0.3200     4.7450     0.0470     0.0470   -90.0000     0.0000     0.0000   264.4900     0.3200     0.3100     4.9730     0.0470     0.0470   180.0000     0.0000     0.0000     0.9898     0.0017     0.0017     5.0340     0.0470     0.0470    90.0000     0.0000     0.0000     0.9638     0.0017     0.0017     4.5490     0.0460     0.0460  3725.0000  3648.0000     1.0211  2689.0000     0.1489     0.0014     0.2115     0.7038     0.0066
   79.9980     0.0090    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1541     0.0014     0.0014     0.1724     0.0052     0.0051    11.0600     0.5200     0.5200    51.7200     0.0610     0.0610     0.0000     0.0000     0.0000   263.9300     0.3200     0.3200     4.8830     0.0480     0.0470   -90.0000     0.0000     0.0000   264.4800     0.3200     0.3100     5.0980     0.0480     0.0480   180.0000     0.0000     0.0000     0.9859     0.0017     0.0017     5.3340     0.0480     0.0480    90.0000     0.0000     0.0000     0.9592     0.0017     0.0017     4.9390     0.0470     0.0470  3593.3999  3648.0000     0.9850  2690.0000     0.1434     0.0014     0.2115     0.6778     0.0066
   74.9900     0.0200    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1549     0.0014     0.0014     0.1759     0.0053     0.0052    10.3600     0.5100     0.5100    51.7620     0.0610     0.0610     0.0000     0.0000     0.0000   263.7400     0.3200     0.3200     4.9540     0.0480     0.0470   -90.0000     0.0000     0.0000   265.9700     0.3200     0.3200     4.9600     0.0470     0.0470   180.0000     0.0000     0.0000     0.9906     0.0017     0.0017     5.1210     0.0480     0.0470    90.0000     0.0000     0.0000     0.9565     0.0017     0.0017     4.7530     0.0470     0.0470  3618.5000  3648.0000     0.9919  2691.0000     0.1442     0.0014     0.2115     0.6816     0.0066
   69.9900     0.0200    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1528     0.0014     0.0014     0.1762     0.0054     0.0053    11.1000     0.5200     0.5200    51.6940     0.0620     0.0610     0.0000     0.0000     0.0000   263.3600     0.3200     0.3200     4.8920     0.0470     0.0480   -90.0000     0.0000     0.0000   264.4400     0.3200     0.3100     5.0030     0.0480     0.0470   180.0000     0.0000     0.0000     0.9873     0.0017     0.0017     5.2120     0.0470     0.0470    90.0000     0.0000     0.0000     0.9597     0.0017     0.0017     4.7030     0.0470     0.0470  3692.0000  3648.0000     1.0121  2692.0000     0.1421     0.0014     0.2115     0.6717     0.0066
   65.0000     0.0100    49.0000     7.9448    16.4944    -0.0100    -0.0100   -10.0000     0.1531     0.0014     0.0014     0.2051     0.0058     0.0058     9.5200     0.5400     0.5400    51.8550     0.0680     0.0680     0.0000     0.0000     0.0000   264.2200     0.3200     0.3200     4.8970     0.0480     0.0470   -90.0000     0.0000     0.0000   264.9400     0.3200     0.3100     5.1220     0.0480     0.0480   180.0000     0.0000     0.0000     0.9886     0.0017     0.0017     5.1880     0.0470     0.0480    90.0000     0.0000     0.0000     0.9568     0.0017     0.0017     4.8840     0.0470     0.0470  3624.8000  3648.0000     0.9936  2693.0000     0.1424     0.0014     0.2115     0.6731     0.0066
   59.9970     0.0090    49.0000     7.9447    16.4945    -0.0100    -0.0100   -10.0000     0.0857     0.0016     0.0016     0.2330     0.0120     0.0120    10.4900     0.9700     0.9700    51.6000     0.1300     0.1300     0.0000     0.0000     0.0000   266.6100     0.3200     0.3200     4.8960     0.0480     0.0470   -90.0000     0.0000     0.0000   263.9400     0.3200     0.3200     5.1400     0.0480     0.0480   180.0000     0.0000     0.0000     0.9622     0.0017     0.0017     5.3790     0.0480     0.0480    90.0000     0.0000     0.0000     0.9570     0.0017     0.0017     4.8320     0.0470     0.0470  3708.8000  3648.0000     1.0167  2694.0000     0.0750     0.0016     0.2115     0.3545     0.0076
   55.0000     0.0100    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.0237     0.0018     0.0017     0.2600     0.0590     0.0520    -1.6000     3.7000     3.7000    51.1000     0.5200     0.4900     0.0000     0.0000     0.0000   269.4200     0.3200     0.3200     4.8250     0.0480     0.0470   -90.0000     0.0000     0.0000   264.8800     0.3200     0.3200     5.0570     0.0480     0.0480   180.0000     0.0000     0.0000     0.9440     0.0017     0.0017     5.2570     0.0480     0.0470    90.0000     0.0000     0.0000     0.9565     0.0017     0.0017     4.7440     0.0460     0.0460  3731.8999  3648.0000     1.0230  2695.0000     0.0130     0.0018     0.2115     0.0614     0.0085
   49.9970     0.0090    49.0000     7.9449    16.4945    -0.0090    -0.0100   -10.0000     0.0215     0.0017     0.0016     0.2520     0.0550     0.0490    -1.2000     4.0000     4.0000    51.9400     0.5400     0.5300     0.0000     0.0000     0.0000   269.3000     0.3200     0.3200     4.9660     0.0480     0.0480   -90.0000     0.0000     0.0000   264.5600     0.3200     0.3200     5.1000     0.0480     0.0470   180.0000     0.0000     0.0000     0.9429     0.0016     0.0017     5.3670     0.0480     0.0470    90.0000     0.0000     0.0000     0.9544     0.0017     0.0017     4.9220     0.0470     0.0470  3679.8999  3648.0000     1.0087  2696.0000     0.0108     0.0017     0.2115     0.0510     0.0080
   44.9970     0.0080    49.0000     7.9449    16.4944    -0.0100    -0.0100   -10.0000     0.0229     0.0021     0.0019     0.3470     0.0820     0.0700   -10.3000     3.9000     3.9000    51.4500     0.6000     0.5800     0.0000     0.0000     0.0000   269.9300     0.3300     0.3200     4.8840     0.0480     0.0480   -90.0000     0.0000     0.0000   265.8200     0.3200     0.3300     5.0280     0.0480     0.0470   180.0000     0.0000     0.0000     0.9396     0.0016     0.0017     5.4340     0.0480     0.0480    90.0000     0.0000     0.0000     0.9476     0.0017     0.0017     4.9590     0.0470     0.0470  3602.6001  3648.0000     0.9876  2697.0000     0.0122     0.0021     0.2115     0.0576     0.0099
   39.9990     0.0050    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0198     0.0015     0.0014     0.1840     0.0480     0.0430    -7.3000     4.1000     4.1000    51.3100     0.4900     0.4800     0.0000     0.0000     0.0000   268.4700     0.3200     0.3200     5.0000     0.0480     0.0480   -90.0000     0.0000     0.0000   264.6600     0.3200     0.3200     5.1140     0.0480     0.0480   180.0000     0.0000     0.0000     0.9422     0.0017     0.0016     5.3350     0.0470     0.0480    90.0000     0.0000     0.0000     0.9516     0.0017     0.0017     5.0770     0.0470     0.0470  3674.3999  3648.0000     1.0072  2698.0000     0.0091     0.0015     0.2115     0.0430     0.0071
   29.9980     0.0070    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0218     0.0018     0.0017     0.2500     0.0620     0.0540   -14.6000     3.7000     3.7000    51.9100     0.4800     0.4800     0.0000     0.0000     0.0000   269.6100     0.3200     0.3200     5.1180     0.0480     0.0480   -90.0000     0.0000     0.0000   265.5000     0.3200     0.3200     5.0440     0.0480     0.0480   180.0000     0.0000     0.0000     0.9383     0.0016     0.0016     5.3130     0.0480     0.0470    90.0000     0.0000     0.0000     0.9500     0.0017     0.0017     4.9340     0.0460     0.0470  3780.3000  3648.0000     1.0363  2699.0000     0.0111     0.0018     0.2115     0.0524     0.0085
   19.9980     0.0090    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0220     0.0016     0.0015     0.2200     0.0490     0.0440     9.4000     3.7000     3.7000    50.0800     0.4600     0.4700     0.0000     0.0000     0.0000   271.3300     0.3200     0.3200     4.9330     0.0480     0.0480   -90.0000     0.0000     0.0000   265.4800     0.3200     0.3200     5.0310     0.0480     0.0480   180.0000     0.0000     0.0000     0.9238     0.0016     0.0016     5.3820     0.0470     0.0470    90.0000     0.0000     0.0000     0.9493     0.0017     0.0017     4.8780     0.0470     0.0470  3587.1001  3648.0000     0.9833  2700.0000     0.0113     0.0016     0.2115     0.0534     0.0076
   10.0000     0.0050    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0195     0.0016     0.0015     0.2790     0.0610     0.0540     1.9000     4.7000     4.6000    50.9100     0.6600     0.6700     0.0000     0.0000     0.0000   271.8900     0.3200     0.3300     5.1810     0.0480     0.0480   -90.0000     0.0000     0.0000   266.3900     0.3200     0.3200     5.1810     0.0480     0.0480   180.0000     0.0000     0.0000     0.9173     0.0016     0.0016     5.4200     0.0470     0.0480    90.0000     0.0000     0.0000     0.9415     0.0017     0.0017     5.0700     0.0470     0.0470  3630.2000  3648.0000     0.9951  2701.0000     0.0088     0.0016     0.2115     0.0416     0.0076
