dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
   60.0040     0.0070    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.0890     0.0018     0.0018     0.2630     0.0140     0.0140     6.9000     1.1000     1.1000    52.0200     0.1500     0.1500     0.0000     0.0000     0.0000   213.2400     0.2900     0.2900     3.9700     0.0430     0.0420   -90.0000     0.0000     0.0000   211.7500     0.2800     0.2800     4.1220     0.0430     0.0430   180.0000     0.0000     0.0000     0.9641     0.0019     0.0019     4.3400     0.0430     0.0430    90.0000     0.0000     0.0000     0.9568     0.0019     0.0019     3.9430     0.0420     0.0420  3725.1001  3648.0000     1.0211  2714.0000     0.0783     0.0018     0.2115     0.3701     0.0085
   60.0010     0.0040    49.0000     9.9428    16.4945    -0.0100    -0.0100   -10.0000     0.0895     0.0018     0.0018     0.2680     0.0140     0.0140    10.6000     1.1000     1.1000    51.7700     0.1500     0.1500     0.0000     0.0000     0.0000   212.5400     0.2900     0.2900     4.0570     0.0430     0.0430   -90.0000     0.0000     0.0000   211.9100     0.2800     0.2800     4.0030     0.0430     0.0420   180.0000     0.0000     0.0000     0.9624     0.0019     0.0019     4.3070     0.0430     0.0430    90.0000     0.0000     0.0000     0.9506     0.0019     0.0019     3.9810     0.0420     0.0420  3873.2000  3648.0000     1.0617  2715.0000     0.0801     0.0018     0.2185     0.3666     0.0082
   60.0010     0.0040    49.0000    12.9396    16.4945    -0.0090    -0.0100   -10.0000     0.0870     0.0019     0.0019     0.2590     0.0160     0.0150     7.0000     1.2000     1.2000    51.8600     0.1600     0.1600     0.0000     0.0000     0.0000   184.8300     0.2700     0.2700     3.4040     0.0400     0.0390   -90.0000     0.0000     0.0000   183.7800     0.2600     0.2700     3.6580     0.0400     0.0400   180.0000     0.0000     0.0000     0.9679     0.0020     0.0020     3.7820     0.0400     0.0400    90.0000     0.0000     0.0000     0.9622     0.0020     0.0020     3.4600     0.0390     0.0390  3889.8999  3648.0000     1.0663  2716.0000     0.0783     0.0019     0.2237     0.3498     0.0085
   60.0010     0.0070    49.0000    15.9445    16.4945    -0.0100    -0.0100   -10.0000     0.0870     0.0021     0.0021     0.2890     0.0180     0.0170    11.7000     1.3000     1.3000    51.6600     0.1900     0.1900     0.0000     0.0000     0.0000   158.2500     0.2500     0.2500     3.0090     0.0370     0.0370   -90.0000     0.0000     0.0000   158.0800     0.2400     0.2500     3.1110     0.0370     0.0370   180.0000     0.0000     0.0000     0.9700     0.0022     0.0022     3.2710     0.0370     0.0370    90.0000     0.0000     0.0000     0.9593     0.0022     0.0022     3.0870     0.0360     0.0370  3847.7000  3648.0000     1.0547  2717.0000     0.0784     0.0021     0.2260     0.3470     0.0093
   60.0010     0.0050    49.0000    17.9424    16.4945    -0.0100    -0.0100   -10.0000     0.0902     0.0021     0.0021     0.2850     0.0170     0.0160    10.8000     1.3000     1.3000    51.8300     0.1900     0.1900     0.0000     0.0000     0.0000   159.4000     0.2500     0.2500     2.9930     0.0370     0.0370   -90.0000     0.0000     0.0000   158.6900     0.2500     0.2500     3.0750     0.0370     0.0370   180.0000     0.0000     0.0000     0.9690     0.0022     0.0022     3.2750     0.0370     0.0370    90.0000     0.0000     0.0000     0.9652     0.0022     0.0022     2.9560     0.0360     0.0360  3787.0000  3648.0000     1.0381  2718.0000     0.0817     0.0021     0.2268     0.3601     0.0093
   60.0000     0.0040    49.0000    19.9403    16.4945    -0.0100    -0.0100   -10.0000     0.0868     0.0022     0.0021     0.3150     0.0190     0.0190    13.0000     1.4000     1.4000    51.8800     0.2100     0.2100     0.0000     0.0000     0.0000   159.4200     0.2500     0.2500     2.9480     0.0370     0.0370   -90.0000     0.0000     0.0000   158.3400     0.2500     0.2500     3.0590     0.0370     0.0370   180.0000     0.0000     0.0000     0.9632     0.0022     0.0022     3.3640     0.0370     0.0370    90.0000     0.0000     0.0000     0.9645     0.0022     0.0022     2.9980     0.0360     0.0370  3634.5000  3648.0000     0.9963  2719.0000     0.0783     0.0022     0.2273     0.3444     0.0097
   60.0000     0.0050    49.0000     6.0198    13.4973    -0.0090    -0.0080   -10.0000     0.0831     0.0021     0.0021     0.2800     0.0180     0.0180    10.5000     1.4000     1.4000    51.8500     0.2000     0.2000     0.0000     0.0000     0.0000   156.4400     0.2500     0.2400     2.8310     0.0360     0.0370   -90.0000     0.0000     0.0000   160.8500     0.2500     0.2500     2.9980     0.0370     0.0370   180.0000     0.0000     0.0000     1.0050     0.0022     0.0023     3.2680     0.0370     0.0370    90.0000     0.0000     0.0000     0.9335     0.0021     0.0021     2.9660     0.0360     0.0360  3776.3000  3648.0000     1.0352  2720.0000     0.0708     0.0021     0.1870     0.3787     0.0112
   60.0000     0.0050    49.0000     5.0207    13.4973    -0.0090    -0.0080   -10.0000     0.0831     0.0023     0.0023     0.3360     0.0220     0.0210    11.0000     1.4000     1.5000    51.7200     0.2300     0.2200     0.0000     0.0000     0.0000   155.8900     0.2500     0.2400     2.8530     0.0360     0.0360   -90.0000     0.0000     0.0000   160.6000     0.2500     0.2500     2.9870     0.0370     0.0370   180.0000     0.0000     0.0000     1.0091     0.0023     0.0023     3.2050     0.0370     0.0370    90.0000     0.0000     0.0000     0.9302     0.0021     0.0021     2.8480     0.0360     0.0360  3740.3999  3648.0000     1.0253  2721.0000     0.0691     0.0023     0.1802     0.3835     0.0128
   60.0010     0.0050    49.0000     4.0219    13.4973    -0.0090    -0.0080   -10.0000     0.0800     0.0021     0.0021     0.2880     0.0190     0.0190     9.9000     1.5000     1.5000    51.6300     0.2100     0.2100     0.0000     0.0000     0.0000   156.2300     0.2500     0.2500     2.9080     0.0360     0.0360   -90.0000     0.0000     0.0000   160.9000     0.2500     0.2500     3.0820     0.0370     0.0370   180.0000     0.0000     0.0000     1.0098     0.0023     0.0023     3.2300     0.0370     0.0370    90.0000     0.0000     0.0000     0.9282     0.0021     0.0021     2.9070     0.0360     0.0360  3678.8000  3648.0000     1.0084  2722.0000     0.0625     0.0021     0.1701     0.3674     0.0123
   60.0010     0.0040    49.0000     3.0226    13.4973    -0.0090    -0.0080   -10.0000     0.0888     0.0022     0.0022     0.3290     0.0200     0.0200    14.9000     1.4000     1.4000    51.3600     0.2100     0.2100     0.0000     0.0000     0.0000   155.1400     0.2500     0.2500     2.8140     0.0360     0.0360   -90.0000     0.0000     0.0000   159.7500     0.2500     0.2500     3.1170     0.0370     0.0370   180.0000     0.0000     0.0000     1.0211     0.0023     0.0023     3.2730     0.0370     0.0370    90.0000     0.0000     0.0000     0.9310     0.0021     0.0021     2.9090     0.0360     0.0360  3568.0000  3648.0000     0.9781  2723.0000     0.0643     0.0022     0.1547     0.4156     0.0142
   60.0010     0.0040    49.0000     2.0239    13.4973    -0.0090    -0.0080   -10.0000     0.0865     0.0020     0.0019     0.2360     0.0150     0.0140    10.2000     1.3000     1.3000    51.0000     0.1700     0.1700     0.0000     0.0000     0.0000   153.6900     0.2400     0.2400     2.7880     0.0360     0.0360   -90.0000     0.0000     0.0000   161.5800     0.2500     0.2500     3.0530     0.0370     0.0370   180.0000     0.0000     0.0000     1.0512     0.0024     0.0024     3.2630     0.0380     0.0380    90.0000     0.0000     0.0000     0.9141     0.0021     0.0021     2.8640     0.0360     0.0360  3561.3000  3648.0000     0.9762  2724.0000     0.0478     0.0020     0.1296     0.3686     0.0154
