dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
   55.0030     0.0090    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0218     0.0026     0.0023     0.3980     0.1190     0.0970    -3.7000     4.8000     4.8000    51.9200     0.7600     0.7600     0.0000     0.0000     0.0000   215.9600     0.2900     0.2900     3.8570     0.0430     0.0430   -90.0000     0.0000     0.0000   212.9300     0.2900     0.2900     4.0860     0.0430     0.0430   180.0000     0.0000     0.0000     0.9389     0.0018     0.0018     4.2540     0.0430     0.0420    90.0000     0.0000     0.0000     0.9492     0.0019     0.0019     3.9340     0.0420     0.0420  3609.7000  3648.0000     0.9895  2712.0000     0.0111     0.0026     0.2115     0.0524     0.0123
   57.5040     0.0080    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.0336     0.0020     0.0019     0.2910     0.0460     0.0420     5.7000     2.9000     2.9000    51.1200     0.4200     0.4100     0.0000     0.0000     0.0000   215.9000     0.2800     0.2900     3.7930     0.0430     0.0420   -90.0000     0.0000     0.0000   212.4000     0.2900     0.2900     4.0820     0.0430     0.0430   180.0000     0.0000     0.0000     0.9358     0.0019     0.0018     4.2960     0.0420     0.0430    90.0000     0.0000     0.0000     0.9513     0.0019     0.0019     3.8590     0.0420     0.0420  3625.1001  3648.0000     0.9937  2713.0000     0.0229     0.0020     0.2115     0.1082     0.0095
   60.0040     0.0070    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.0890     0.0018     0.0018     0.2630     0.0140     0.0140     6.9000     1.1000     1.1000    52.0200     0.1500     0.1500     0.0000     0.0000     0.0000   213.2400     0.2900     0.2900     3.9700     0.0430     0.0420   -90.0000     0.0000     0.0000   211.7500     0.2800     0.2800     4.1220     0.0430     0.0430   180.0000     0.0000     0.0000     0.9641     0.0019     0.0019     4.3400     0.0430     0.0430    90.0000     0.0000     0.0000     0.9568     0.0019     0.0019     3.9430     0.0420     0.0420  3725.1001  3648.0000     1.0211  2714.0000     0.0783     0.0018     0.2115     0.3701     0.0085
   62.5010     0.0090    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.1495     0.0020     0.0019     0.2332     0.0087     0.0084     9.2300     0.7400     0.7400    52.0030     0.0980     0.0970     0.0000     0.0000     0.0000   157.9700     0.2500     0.2500     3.1190     0.0370     0.0370   -90.0000     0.0000     0.0000   158.3800     0.2500     0.2400     3.1800     0.0370     0.0370   180.0000     0.0000     0.0000     0.9802     0.0022     0.0022     3.3730     0.0370     0.0370    90.0000     0.0000     0.0000     0.9583     0.0022     0.0022     3.0450     0.0360     0.0370  3506.5000  3648.0000     0.9612  2725.0000     0.1388     0.0020     0.2115     0.6561     0.0095
   67.5040     0.0070    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1585     0.0019     0.0019     0.2083     0.0073     0.0073    10.6400     0.6800     0.6800    51.8480     0.0860     0.0860     0.0000     0.0000     0.0000   159.1300     0.2500     0.2500     3.1060     0.0370     0.0370   -90.0000     0.0000     0.0000   159.0500     0.2500     0.2400     3.2570     0.0370     0.0370   180.0000     0.0000     0.0000     0.9826     0.0022     0.0022     3.3450     0.0370     0.0370    90.0000     0.0000     0.0000     0.9607     0.0022     0.0022     3.0720     0.0370     0.0360  3877.1001  3648.0000     1.0628  2726.0000     0.1478     0.0019     0.2115     0.6986     0.0090
   70.0010     0.0060    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1511     0.0018     0.0018     0.1868     0.0073     0.0071    10.5000     0.6900     0.6900    51.6220     0.0830     0.0830     0.0000     0.0000     0.0000   159.8600     0.2500     0.2500     2.8050     0.0370     0.0360   -90.0000     0.0000     0.0000   159.3800     0.2500     0.2400     3.1220     0.0370     0.0370   180.0000     0.0000     0.0000     0.9795     0.0022     0.0022     3.1700     0.0370     0.0370    90.0000     0.0000     0.0000     0.9592     0.0022     0.0022     2.9400     0.0370     0.0360  3617.3999  3648.0000     0.9916  2727.0000     0.1404     0.0018     0.2115     0.6636     0.0085
  100.0000     0.0100    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1560     0.0017     0.0017     0.1410     0.0061     0.0059     9.3200     0.6300     0.6300    51.5420     0.0690     0.0690     0.0000     0.0000     0.0000   158.5000     0.2500     0.2500     3.0810     0.0370     0.0370   -90.0000     0.0000     0.0000   159.1400     0.2400     0.2500     3.1970     0.0370     0.0370   180.0000     0.0000     0.0000     0.9852     0.0022     0.0022     3.2260     0.0370     0.0370    90.0000     0.0000     0.0000     0.9601     0.0022     0.0022     3.0750     0.0360     0.0370  3507.3000  3648.0000     0.9614  2738.0000     0.1453     0.0017     0.2115     0.6868     0.0080
  149.9800     0.0400    49.0000     7.9448    16.4944    -0.0100    -0.0100   -10.0000     0.1660     0.0017     0.0018     0.1501     0.0058     0.0058    11.9000     0.6000     0.6000    51.0610     0.0670     0.0670     0.0000     0.0000     0.0000   159.0100     0.2500     0.2500     2.9790     0.0370     0.0370   -90.0000     0.0000     0.0000   158.5900     0.2500     0.2400     3.2180     0.0370     0.0370   180.0000     0.0000     0.0000     0.9815     0.0022     0.0022     3.2430     0.0370     0.0370    90.0000     0.0000     0.0000     0.9631     0.0022     0.0022     3.0480     0.0370     0.0360  3571.2000  3648.0000     0.9789  2739.0000     0.1553     0.0017     0.2115     0.7341     0.0080
  199.9900     0.0300    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1695     0.0019     0.0019     0.2086     0.0070     0.0070    11.0400     0.6200     0.6300    51.0190     0.0790     0.0780     0.0000     0.0000     0.0000   158.8800     0.2500     0.2500     3.0210     0.0370     0.0370   -90.0000     0.0000     0.0000   159.1600     0.2500     0.2400     3.1900     0.0370     0.0370   180.0000     0.0000     0.0000     0.9881     0.0022     0.0022     3.2840     0.0370     0.0370    90.0000     0.0000     0.0000     0.9634     0.0022     0.0022     2.9960     0.0370     0.0360  3796.2000  3648.0000     1.0406  2740.0000     0.1588     0.0019     0.2115     0.7506     0.0090
