# Profile Compression settings. Method: Running Average, using 1 datapoints
# Profile Smoothing is Disabled
#	H	C-	O	P	Ni-	Cu-	Ga-	As	In-	Sb-	Ru-	Mn-	
#	1,0089	11,9990	15,9938	30,9728	57,9328	62,9275	68,9248	74,9181	114,9010	120,8979	101,8988	54,9727	
#Data Point #	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
1	9700,32	1983,72	243118	6,00282	5,00289	78,1294	7,00399	18,0163	1766,76	1399,94	405,575	10,0034	
2	2668,24	610,838	371382	12,0035	5,00103	75,1274	3,0006	21,0064	5813,21	1158,69	624,104	3,00024	
3	961,565	476,737	374279	9,00254	7,00048	208,539	8,00146	13,0034	24364	1079,11	3019,28	0	
4	715,021	583,6	375800	4,00043	20,004	309,922	2,00018	19,0036	36560,7	1270,35	6691,17	1,00007	
5	469,425	591,663	371585	2,00009	13,0017	202,352	1,00004	5,0005	17231,1	1007,68	4748,04	1,00005	
6	405,315	709,83	364063	3,0003	11,0009	208,353	2,00015	11,0014	12355	1241,49	4102,04	1,00005	
7	321,238	684,563	338406	3,00021	22,0043	213,376	0	17,0032	9872,91	1255,71	3637,32	0	
8	263,036	651,235	271525	3,00021	11,0011	198,309	0	9,00117	6862,02	1173,83	2966,35	0	
9	194,454	639,116	201692	0	16,0027	152,179	0	7,00065	4802,14	977,399	2679,06	0	
10	147,46	577,537	156284	3,00011	16,002	112,103	1,00004	8,00055	3370,72	757,447	2229,64	0	
11	155,303	553,329	129710	1,00005	13,0015	79,0525	0	7,00048	2611,42	669,479	2164,42	0	
12	133,933	493,864	109622	0	13,0013	72,0418	1,00001	4,00018	2033,43	582,651	2034,31	0	
13	98,6003	415,32	93894,1	3,00011	15,0017	70,0396	0	6,00092	1693,86	486,886	1940,56	0	
14	84,4303	333,849	82077,6	2,00009	5,00019	54,0256	2,00003	7,00048	1421,32	443,531	1873,56	0	
15	73,316	334,854	73649,6	1,00007	5,00019	40,0128	1,00001	4,00023	1194,97	398,232	1790,32	0	
16	64,2372	293,661	65102,3	1,00002	4,00018	45,0168	0	4,00012	1071,8	362,02	1674,31	0	
17	53,1626	281,608	60015,5	0	10,0011	48,0191	1,00001	3,00011	1075,78	345,938	1745,08	0	
18	47,1284	243,452	54600,3	2,00006	6,00037	38,0116	1,00004	2,00003	881,946	332,87	1653,77	0	
