# Profile Compression settings. Method: Running Average, using 1 datapoints
# Profile Smoothing is Disabled
#	H+	C+	O+	P+	Mn+	Ni+	Cu+	Ga+	As+	Ru+	^113In+	In+	Sb+	Ga^71Ga+	
#	1,0071	11,9993	15,9939	30,9723	54,9405	57,9379	62,9296	68,9283	74,9202	101,9034	112,9066	114,8975	120,9024	139,8499	
#Data Point #	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
1	1441,74	120,112	780,691	8,0011	24755	501,988	2315,66	48421,3	12,002	84773,7	30623,5	319721	3418,76	132,222	
2	76,0441	3,00007	821,135	0	25997,5	361,003	1327,35	50629,2	1,00002	109848	38127,1	367685	724,484	135,176	
3	21,0034	5,00027	347,922	0	16213,8	170,223	506,956	31176,8	0	92904,1	26220,1	312862	225,672	90,1	
4	12,0011	2,00003	218,363	0	7398,43	70,0385	188,27	14961,3	1,00004	59308,7	11165,7	170561	117,162	27,0121	
5	12,0011	2,00003	208,331	1,00001	5039,92	34,0088	140,152	8847,33	1,00005	55133,7	4862,57	95867,9	55,0452	16,0071	
6	5,00019	0	187,267	0	3970,91	44,0148	129,127	6561,91	0	57172,7	3258,29	63757,3	61,0582	19,0069	
7	1,00001	1,00002	169,221	0	3384,3	26,0056	66,0333	5614,8	0	58621	2497,16	49281	40,0252	12,0033	
8	4,00018	0	188,27	0	2981,91	40,0128	63,0303	4853,51	0	59963	1933,48	39649,4	31,0275	11,0025	
9	3,00007	1,00001	166,211	0	2735,34	21,0034	51,0199	4466,9	1,00001	60372,7	1579,18	32880,8	25,0128	8,00253	
10	1,00001	0	173,229	0	2504,44	23,004	44,0154	4193,54	0	60551,7	1338,72	27226,4	17,011	8,00205	
11	5,00019	0	162,203	0	2406,77	20,0031	52,0206	4137,99	0	61961	1095,13	23474,7	19,0116	9,00335	
12	4,00012	0	153,179	0	2358,95	24,0048	42,0135	3931,67	0	61207,3	1001,72	20477,3	29,019	8,00232	
13	2,00003	0	155,184	0	2285,46	31,0073	44,0148	3765,29	0	62097,9	883,013	17860,2	21,0119	3,00074	
14	0	0	135,139	0	2394,32	40,0122	47,0169	3609,66	0	61562,7	803,948	16146,6	11,0062	8,00276	
15	0	0	169,221	0	2353,77	30,0069	64,0313	3656,17	0	62045,1	680,584	14752,8	11,0033	8,00279	
16	2,00003	0	151,174	0	2450,24	52,0206	77,0453	3568,41	1,00001	62269,2	625,042	13671,8	12,0053	9,00317	
17	1,00002	0	150,172	0	2832,33	67,0343	90,0619	3614,89	0	62035,5	649,276	12749,8	13,0072	3,00076	
18	1,00001	0	146,163	0	3040,55	88,0591	110,092	3433,49	0	61352,2	617,913	11771,6	11,0054	8,00317	
19	1,00001	2,00003	136,143	0	3316,68	132,137	138,146	3433,39	0	59425	563,536	11602,3	15,0081	3,00062	
