Name: Sanjib
Sample: H1242
Measuring Station: Gilgamesh
Start Date/Time: 6/24/2019 / 8:15:31 PM
Actual time: 6/24/2019 / 8:15:33 PM

Comment:
H1242 [ZnTe\CuMnSb\Ru]

Ref resistor= 47 ohm

B= 7 T to 0 T at Temp = 4.2 K  Time constant= 300 ms
measurement delay = 500 ms

I(1-10)
Vexc=0.9 V; Voltage Divider=30:1

Vref-Ag1-Ch1 (sen20mv)
V(11-12)-Ag1-Ch2 (sen20mv)
V(1-12)-Ag2-Ch1 (sen20mv)
V(11-10)-Ag2-Ch2 (sen20mv)



Swept Device: B-Field set (Mercury iPS) [T]
Beginvalue: 7.000000E+0; Endvalue: -5.000000E-1
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
DCV (Agilent1 34420a Ch1) [V] DCV (Agilent1 34420a Ch2) [V] DCV (Agilent2 34420a Ch1) [V] DCV (Agilent2 34420a Ch2) [V] Temperature (LS332) [K] Temperature (LS332) [Ohm]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
3.767828E+0 1.586719E+0 3.639967E+0 5.294393E-1 4.203000E+0 1.015600E+3
---------											
B-Field set (Mercury iPS) [T]	None () []	DCV (Agilent1 34420a Ch1) [V]	DCV (Agilent1 34420a Ch2) [V]	DCV (Agilent2 34420a Ch1) [V]	DCV (Agilent2 34420a Ch2) [V]	Temperature (LS332) [K]	Temperature (LS332) [Ohm]	Rxx (Ohm)	G1 (e2/h)	Rxy (Ohm)	R2 (Ohm)
2.30000E+0	0.00000E+0	3.77617E+0	1.57480E+0	3.63983E+0	5.23852E-1	4.21300E+0	1.01280E+3	1.96007E+1	1.31694E+3	4.53031E+1	5.69784E+2
2.28000E+0	0.00000E+0	3.77581E+0	1.57475E+0	3.63991E+0	5.23858E-1	4.21300E+0	1.01280E+3	1.96020E+1	1.31686E+3	4.53084E+1	5.69717E+2
2.26000E+0	0.00000E+0	3.77578E+0	1.57472E+0	3.63985E+0	5.23804E-1	4.21300E+0	1.01290E+3	1.96017E+1	1.31688E+3	4.53080E+1	5.69723E+2
2.24000E+0	0.00000E+0	3.77673E+0	1.57485E+0	3.64017E+0	5.23859E-1	4.21300E+0	1.01280E+3	1.95984E+1	1.31710E+3	4.53006E+1	5.69816E+2
2.22000E+0	0.00000E+0	3.77691E+0	1.57490E+0	3.64029E+0	5.23906E-1	4.21300E+0	1.01290E+3	1.95981E+1	1.31711E+3	4.52999E+1	5.69824E+2
2.20000E+0	0.00000E+0	3.77724E+0	1.57501E+0	3.64029E+0	5.23830E-1	4.21300E+0	1.01280E+3	1.95977E+1	1.31714E+3	4.52960E+1	5.69874E+2
2.18000E+0	0.00000E+0	3.77617E+0	1.57477E+0	3.64018E+0	5.23803E-1	4.21300E+0	1.01290E+3	1.96003E+1	1.31697E+3	4.53074E+1	5.69731E+2
2.16000E+0	0.00000E+0	3.77636E+0	1.57480E+0	3.64033E+0	5.23831E-1	4.21300E+0	1.01290E+3	1.95998E+1	1.31701E+3	4.53070E+1	5.69736E+2
2.14000E+0	0.00000E+0	3.77603E+0	1.57465E+0	3.64012E+0	5.23788E-1	4.21300E+0	1.01290E+3	1.95996E+1	1.31702E+3	4.53084E+1	5.69718E+2
2.12000E+0	0.00000E+0	3.77606E+0	1.57467E+0	3.64006E+0	5.23721E-1	4.21300E+0	1.01290E+3	1.95997E+1	1.31701E+3	4.53072E+1	5.69733E+2
2.10000E+0	0.00000E+0	3.77621E+0	1.57453E+0	3.64003E+0	5.23751E-1	4.21300E+0	1.01290E+3	1.95972E+1	1.31718E+3	4.53051E+1	5.69760E+2
2.08000E+0	0.00000E+0	3.77691E+0	1.57468E+0	3.64024E+0	5.23826E-1	4.21300E+0	1.01290E+3	1.95953E+1	1.31730E+3	4.52992E+1	5.69834E+2
2.06000E+0	0.00000E+0	3.77617E+0	1.57454E+0	3.64028E+0	5.23679E-1	4.21300E+0	1.01290E+3	1.95975E+1	1.31716E+3	4.53087E+1	5.69714E+2
2.04000E+0	0.00000E+0	3.77639E+0	1.57456E+0	3.64023E+0	5.23748E-1	4.21300E+0	1.01290E+3	1.95966E+1	1.31722E+3	4.53054E+1	5.69756E+2
2.02000E+0	0.00000E+0	3.77606E+0	1.57441E+0	3.63995E+0	5.23695E-1	4.21300E+0	1.01290E+3	1.95965E+1	1.31723E+3	4.53059E+1	5.69749E+2
2.00000E+0	0.00000E+0	3.77662E+0	1.57457E+0	3.63997E+0	5.23668E-1	4.21300E+0	1.01290E+3	1.95955E+1	1.31729E+3	4.52994E+1	5.69831E+2
1.98000E+0	0.00000E+0	3.77672E+0	1.57459E+0	3.64016E+0	5.23729E-1	4.21300E+0	1.01290E+3	1.95952E+1	1.31731E+3	4.53005E+1	5.69818E+2
1.96000E+0	0.00000E+0	3.77736E+0	1.57472E+0	3.64038E+0	5.23652E-1	4.21300E+0	1.01290E+3	1.95936E+1	1.31742E+3	4.52956E+1	5.69879E+2
1.94000E+0	0.00000E+0	3.77722E+0	1.57472E+0	3.64036E+0	5.23770E-1	4.21300E+0	1.01300E+3	1.95942E+1	1.31738E+3	4.52970E+1	5.69861E+2
1.92000E+0	0.00000E+0	3.77733E+0	1.57472E+0	3.64038E+0	5.23642E-1	4.21300E+0	1.01300E+3	1.95937E+1	1.31741E+3	4.52960E+1	5.69874E+2
1.90000E+0	0.00000E+0	3.77685E+0	1.57459E+0	3.64018E+0	5.23648E-1	4.21300E+0	1.01300E+3	1.95946E+1	1.31735E+3	4.52992E+1	5.69833E+2
1.88000E+0	0.00000E+0	3.77654E+0	1.57443E+0	3.64007E+0	5.23539E-1	4.21300E+0	1.01300E+3	1.95942E+1	1.31738E+3	4.53016E+1	5.69803E+2
1.86000E+0	0.00000E+0	3.77678E+0	1.57450E+0	3.64003E+0	5.23504E-1	4.21300E+0	1.01300E+3	1.95938E+1	1.31741E+3	4.52983E+1	5.69845E+2
1.84000E+0	0.00000E+0	3.77636E+0	1.57439E+0	3.63999E+0	5.23504E-1	4.21300E+0	1.01300E+3	1.95946E+1	1.31736E+3	4.53028E+1	5.69789E+2
1.82000E+0	0.00000E+0	3.77668E+0	1.57444E+0	3.64001E+0	5.23527E-1	4.21300E+0	1.01300E+3	1.95935E+1	1.31742E+3	4.52991E+1	5.69835E+2
1.80000E+0	0.00000E+0	3.77605E+0	1.57431E+0	3.64012E+0	5.23566E-1	4.21300E+0	1.01300E+3	1.95952E+1	1.31731E+3	4.53082E+1	5.69721E+2
1.78000E+0	0.00000E+0	3.77743E+0	1.57457E+0	3.64035E+0	5.23577E-1	4.21300E+0	1.01300E+3	1.95913E+1	1.31757E+3	4.52945E+1	5.69893E+2
1.76000E+0	0.00000E+0	3.77705E+0	1.57447E+0	3.64020E+0	5.23505E-1	4.21300E+0	1.01300E+3	1.95921E+1	1.31752E+3	4.52971E+1	5.69860E+2
1.74000E+0	0.00000E+0	3.77649E+0	1.57430E+0	3.63997E+0	5.23428E-1	4.21300E+0	1.01300E+3	1.95929E+1	1.31747E+3	4.53010E+1	5.69810E+2
1.72000E+0	0.00000E+0	3.77665E+0	1.57441E+0	3.64034E+0	5.23438E-1	4.21300E+0	1.01300E+3	1.95933E+1	1.31744E+3	4.53036E+1	5.69778E+2
1.70000E+0	0.00000E+0	3.77713E+0	1.57442E+0	3.64036E+0	5.23478E-1	4.21300E+0	1.01310E+3	1.95910E+1	1.31759E+3	4.52981E+1	5.69847E+2
1.68000E+0	0.00000E+0	3.77628E+0	1.57423E+0	3.64012E+0	5.23514E-1	4.21200E+0	1.01310E+3	1.95931E+1	1.31745E+3	4.53053E+1	5.69757E+2
1.66000E+0	0.00000E+0	3.77738E+0	1.57445E+0	3.64034E+0	5.23571E-1	4.21200E+0	1.01310E+3	1.95901E+1	1.31766E+3	4.52949E+1	5.69888E+2
1.64000E+0	0.00000E+0	3.77758E+0	1.57449E+0	3.64051E+0	5.23444E-1	4.21200E+0	1.01310E+3	1.95895E+1	1.31769E+3	4.52947E+1	5.69891E+2
1.62000E+0	0.00000E+0	3.77723E+0	1.57441E+0	3.64015E+0	5.23417E-1	4.21200E+0	1.01310E+3	1.95903E+1	1.31764E+3	4.52943E+1	5.69895E+2
1.60000E+0	0.00000E+0	3.77751E+0	1.57440E+0	3.64034E+0	5.23411E-1	4.21200E+0	1.01310E+3	1.95888E+1	1.31774E+3	4.52933E+1	5.69908E+2
1.58000E+0	0.00000E+0	3.77726E+0	1.57434E+0	3.64032E+0	5.23408E-1	4.21200E+0	1.01310E+3	1.95894E+1	1.31771E+3	4.52961E+1	5.69873E+2
1.56000E+0	0.00000E+0	3.77711E+0	1.57431E+0	3.64007E+0	5.23345E-1	4.21200E+0	1.01310E+3	1.95897E+1	1.31768E+3	4.52948E+1	5.69889E+2
1.54000E+0	0.00000E+0	3.77660E+0	1.57423E+0	3.64010E+0	5.23374E-1	4.21200E+0	1.01310E+3	1.95914E+1	1.31757E+3	4.53012E+1	5.69808E+2
1.52000E+0	0.00000E+0	3.77649E+0	1.57424E+0	3.64031E+0	5.23415E-1	4.21200E+0	1.01310E+3	1.95921E+1	1.31752E+3	4.53052E+1	5.69758E+2
1.50000E+0	0.00000E+0	3.77649E+0	1.57405E+0	3.63996E+0	5.23338E-1	4.21200E+0	1.01310E+3	1.95898E+1	1.31768E+3	4.53009E+1	5.69813E+2
1.48000E+0	0.00000E+0	3.77624E+0	1.57417E+0	3.64023E+0	5.23397E-1	4.21200E+0	1.01310E+3	1.95925E+1	1.31750E+3	4.53071E+1	5.69734E+2
1.46000E+0	0.00000E+0	3.77744E+0	1.57439E+0	3.64041E+0	5.23347E-1	4.21200E+0	1.01320E+3	1.95890E+1	1.31773E+3	4.52949E+1	5.69887E+2
1.44000E+0	0.00000E+0	3.77613E+0	1.57408E+0	3.64011E+0	5.23383E-1	4.21200E+0	1.01310E+3	1.95919E+1	1.31753E+3	4.53070E+1	5.69735E+2
1.42000E+0	0.00000E+0	3.77749E+0	1.57431E+0	3.64034E+0	5.23342E-1	4.21200E+0	1.01320E+3	1.95878E+1	1.31781E+3	4.52937E+1	5.69903E+2
1.40000E+0	0.00000E+0	3.77738E+0	1.57427E+0	3.64025E+0	5.23376E-1	4.21200E+0	1.01320E+3	1.95878E+1	1.31781E+3	4.52937E+1	5.69902E+2
1.38000E+0	0.00000E+0	3.77720E+0	1.57426E+0	3.64036E+0	5.23385E-1	4.21200E+0	1.01320E+3	1.95886E+1	1.31775E+3	4.52973E+1	5.69857E+2
1.36000E+0	0.00000E+0	3.77672E+0	1.57414E+0	3.64008E+0	5.23367E-1	4.21200E+0	1.01320E+3	1.95896E+1	1.31769E+3	4.52996E+1	5.69829E+2
1.34000E+0	0.00000E+0	3.77728E+0	1.57422E+0	3.64024E+0	5.23309E-1	4.21200E+0	1.01320E+3	1.95878E+1	1.31781E+3	4.52949E+1	5.69888E+2
1.32000E+0	0.00000E+0	3.77648E+0	1.57405E+0	3.64009E+0	5.23297E-1	4.21200E+0	1.01320E+3	1.95897E+1	1.31768E+3	4.53026E+1	5.69791E+2
1.30000E+0	0.00000E+0	3.77712E+0	1.57424E+0	3.64036E+0	5.23261E-1	4.21200E+0	1.01320E+3	1.95888E+1	1.31774E+3	4.52982E+1	5.69846E+2
1.28000E+0	0.00000E+0	3.77632E+0	1.57402E+0	3.64006E+0	5.23318E-1	4.21200E+0	1.01320E+3	1.95902E+1	1.31765E+3	4.53041E+1	5.69771E+2
1.26000E+0	0.00000E+0	3.77713E+0	1.57416E+0	3.64017E+0	5.23295E-1	4.21200E+0	1.01330E+3	1.95877E+1	1.31782E+3	4.52957E+1	5.69877E+2
1.24000E+0	0.00000E+0	3.77745E+0	1.57425E+0	3.64032E+0	5.23248E-1	4.21200E+0	1.01330E+3	1.95872E+1	1.31785E+3	4.52938E+1	5.69901E+2
1.22000E+0	0.00000E+0	3.77640E+0	1.57404E+0	3.64011E+0	5.23232E-1	4.21200E+0	1.01330E+3	1.95900E+1	1.31766E+3	4.53038E+1	5.69776E+2
1.20000E+0	0.00000E+0	3.77703E+0	1.57408E+0	3.64005E+0	5.23188E-1	4.21200E+0	1.01330E+3	1.95872E+1	1.31785E+3	4.52955E+1	5.69880E+2
1.18000E+0	0.00000E+0	3.77749E+0	1.57423E+0	3.64050E+0	5.23206E-1	4.21200E+0	1.01330E+3	1.95867E+1	1.31788E+3	4.52956E+1	5.69879E+2
1.16000E+0	0.00000E+0	3.77736E+0	1.57420E+0	3.64042E+0	5.23149E-1	4.21100E+0	1.01330E+3	1.95871E+1	1.31786E+3	4.52961E+1	5.69872E+2
1.14000E+0	0.00000E+0	3.77671E+0	1.57407E+0	3.64021E+0	5.23083E-1	4.21200E+0	1.01330E+3	1.95888E+1	1.31775E+3	4.53012E+1	5.69808E+2
1.12000E+0	0.00000E+0	3.77683E+0	1.57408E+0	3.64022E+0	5.23156E-1	4.21100E+0	1.01330E+3	1.95884E+1	1.31777E+3	4.53000E+1	5.69824E+2
1.10000E+0	0.00000E+0	3.77748E+0	1.57420E+0	3.64042E+0	5.23079E-1	4.21100E+0	1.01330E+3	1.95864E+1	1.31790E+3	4.52946E+1	5.69891E+2
1.08000E+0	0.00000E+0	3.77722E+0	1.57415E+0	3.64033E+0	5.23135E-1	4.21100E+0	1.01340E+3	1.95872E+1	1.31785E+3	4.52967E+1	5.69864E+2
1.06000E+0	0.00000E+0	3.77769E+0	1.57417E+0	3.64036E+0	5.23172E-1	4.21100E+0	1.01330E+3	1.95850E+1	1.31800E+3	4.52914E+1	5.69932E+2
1.04000E+0	0.00000E+0	3.77961E+0	1.57477E+0	3.64094E+0	5.23182E-1	4.21100E+0	1.01340E+3	1.95825E+1	1.31816E+3	4.52756E+1	5.70131E+2
1.02000E+0	0.00000E+0	3.77676E+0	1.57396E+0	3.64001E+0	5.23118E-1	4.21100E+0	1.01340E+3	1.95872E+1	1.31785E+3	4.52982E+1	5.69846E+2
1.00000E+0	0.00000E+0	3.77669E+0	1.57402E+0	3.64041E+0	5.23201E-1	4.21100E+0	1.01340E+3	1.95883E+1	1.31777E+3	4.53040E+1	5.69773E+2
9.80000E-1	0.00000E+0	3.77741E+0	1.57412E+0	3.64030E+0	5.23170E-1	4.21100E+0	1.01340E+3	1.95859E+1	1.31794E+3	4.52941E+1	5.69898E+2
9.60000E-1	0.00000E+0	3.77644E+0	1.57399E+0	3.64005E+0	5.22992E-1	4.21100E+0	1.01340E+3	1.95892E+1	1.31772E+3	4.53026E+1	5.69791E+2
9.40000E-1	0.00000E+0	3.77781E+0	1.57423E+0	3.64048E+0	5.23161E-1	4.21100E+0	1.01340E+3	1.95852E+1	1.31799E+3	4.52916E+1	5.69930E+2
9.20000E-1	0.00000E+0	3.77714E+0	1.57412E+0	3.64028E+0	5.23227E-1	4.21100E+0	1.01340E+3	1.95872E+1	1.31785E+3	4.52969E+1	5.69862E+2
9.00000E-1	0.00000E+0	3.77757E+0	1.57417E+0	3.64044E+0	5.23181E-1	4.21100E+0	1.01340E+3	1.95856E+1	1.31795E+3	4.52938E+1	5.69901E+2
8.80000E-1	0.00000E+0	3.77669E+0	1.57401E+0	3.64029E+0	5.23123E-1	4.21100E+0	1.01350E+3	1.95881E+1	1.31779E+3	4.53026E+1	5.69791E+2
8.60000E-1	0.00000E+0	3.77715E+0	1.57412E+0	3.64044E+0	5.23230E-1	4.21100E+0	1.01350E+3	1.95872E+1	1.31785E+3	4.52989E+1	5.69838E+2
8.40000E-1	0.00000E+0	3.77746E+0	1.57415E+0	3.64027E+0	5.23136E-1	4.21100E+0	1.01350E+3	1.95860E+1	1.31793E+3	4.52931E+1	5.69910E+2
8.20000E-1	0.00000E+0	3.77744E+0	1.57413E+0	3.64022E+0	5.23077E-1	4.21100E+0	1.01350E+3	1.95857E+1	1.31795E+3	4.52927E+1	5.69916E+2
8.00000E-1	0.00000E+0	3.77712E+0	1.57406E+0	3.64026E+0	5.23159E-1	4.21100E+0	1.01350E+3	1.95866E+1	1.31789E+3	4.52971E+1	5.69860E+2
7.80000E-1	0.00000E+0	3.77789E+0	1.57427E+0	3.64055E+0	5.23073E-1	4.21100E+0	1.01350E+3	1.95852E+1	1.31798E+3	4.52914E+1	5.69932E+2
7.60000E-1	0.00000E+0	3.77711E+0	1.57413E+0	3.64058E+0	5.23159E-1	4.21100E+0	1.01350E+3	1.95875E+1	1.31783E+3	4.53012E+1	5.69809E+2
7.40000E-1	0.00000E+0	3.77696E+0	1.57401E+0	3.64003E+0	5.23092E-1	4.21100E+0	1.01360E+3	1.95867E+1	1.31788E+3	4.52961E+1	5.69873E+2
7.20000E-1	0.00000E+0	3.77659E+0	1.57397E+0	3.64029E+0	5.23104E-1	4.21000E+0	1.01360E+3	1.95882E+1	1.31779E+3	4.53037E+1	5.69777E+2
7.00000E-1	0.00000E+0	3.77776E+0	1.57422E+0	3.64045E+0	5.23103E-1	4.21100E+0	1.01360E+3	1.95852E+1	1.31798E+3	4.52917E+1	5.69928E+2
6.80000E-1	0.00000E+0	3.77706E+0	1.57404E+0	3.64026E+0	5.23102E-1	4.21000E+0	1.01360E+3	1.95866E+1	1.31789E+3	4.52978E+1	5.69852E+2
6.60000E-1	0.00000E+0	3.77731E+0	1.57414E+0	3.64054E+0	5.23142E-1	4.21000E+0	1.01360E+3	1.95866E+1	1.31789E+3	4.52981E+1	5.69847E+2
6.40000E-1	0.00000E+0	3.77783E+0	1.57424E+0	3.64045E+0	5.23057E-1	4.21000E+0	1.01360E+3	1.95852E+1	1.31798E+3	4.52909E+1	5.69938E+2
6.20000E-1	0.00000E+0	3.77738E+0	1.57423E+0	3.64048E+0	5.23106E-1	4.21000E+0	1.01360E+3	1.95873E+1	1.31784E+3	4.52967E+1	5.69865E+2
6.00000E-1	0.00000E+0	3.77657E+0	1.57403E+0	3.64036E+0	5.23065E-1	4.21000E+0	1.01360E+3	1.95891E+1	1.31772E+3	4.53049E+1	5.69762E+2
5.80000E-1	0.00000E+0	3.77752E+0	1.57419E+0	3.64033E+0	5.23000E-1	4.21000E+0	1.01360E+3	1.95862E+1	1.31792E+3	4.52931E+1	5.69910E+2
5.60000E-1	0.00000E+0	3.77809E+0	1.57432E+0	3.64052E+0	5.23056E-1	4.21000E+0	1.01370E+3	1.95848E+1	1.31801E+3	4.52887E+1	5.69966E+2
5.40000E-1	0.00000E+0	3.77782E+0	1.57429E+0	3.64048E+0	5.23025E-1	4.21000E+0	1.01370E+3	1.95858E+1	1.31795E+3	4.52914E+1	5.69932E+2
5.20000E-1	0.00000E+0	3.77738E+0	1.57414E+0	3.64033E+0	5.23093E-1	4.21000E+0	1.01370E+3	1.95863E+1	1.31791E+3	4.52947E+1	5.69890E+2
5.00000E-1	0.00000E+0	3.77752E+0	1.57419E+0	3.64034E+0	5.23000E-1	4.21000E+0	1.01370E+3	1.95861E+1	1.31792E+3	4.52932E+1	5.69909E+2
4.80000E-1	0.00000E+0	3.77708E+0	1.57408E+0	3.64026E+0	5.23074E-1	4.21000E+0	1.01370E+3	1.95870E+1	1.31786E+3	4.52976E+1	5.69854E+2
4.60000E-1	0.00000E+0	3.77693E+0	1.57417E+0	3.64042E+0	5.23050E-1	4.21000E+0	1.01370E+3	1.95889E+1	1.31774E+3	4.53013E+1	5.69808E+2
4.40000E-1	0.00000E+0	3.77770E+0	1.57425E+0	3.64033E+0	5.23092E-1	4.21000E+0	1.01380E+3	1.95860E+1	1.31793E+3	4.52910E+1	5.69937E+2
4.20000E-1	0.00000E+0	3.77714E+0	1.57409E+0	3.64021E+0	5.23028E-1	4.21000E+0	1.01380E+3	1.95869E+1	1.31787E+3	4.52961E+1	5.69873E+2
4.00000E-1	0.00000E+0	3.77743E+0	1.57419E+0	3.64052E+0	5.22991E-1	4.21000E+0	1.01380E+3	1.95865E+1	1.31789E+3	4.52965E+1	5.69867E+2
3.80000E-1	0.00000E+0	3.77663E+0	1.57398E+0	3.64021E+0	5.23051E-1	4.21000E+0	1.01380E+3	1.95882E+1	1.31779E+3	4.53023E+1	5.69794E+2
3.60000E-1	0.00000E+0	3.77660E+0	1.57402E+0	3.64034E+0	5.23088E-1	4.20900E+0	1.01380E+3	1.95888E+1	1.31774E+3	4.53043E+1	5.69770E+2
3.40000E-1	0.00000E+0	3.77763E+0	1.57426E+0	3.64047E+0	5.23042E-1	4.20900E+0	1.01380E+3	1.95865E+1	1.31790E+3	4.52934E+1	5.69906E+2
3.20000E-1	0.00000E+0	3.77690E+0	1.57407E+0	3.64034E+0	5.22953E-1	4.20900E+0	1.01380E+3	1.95878E+1	1.31781E+3	4.53006E+1	5.69816E+2
3.00000E-1	0.00000E+0	3.77656E+0	1.57404E+0	3.64033E+0	5.22999E-1	4.20900E+0	1.01390E+3	1.95892E+1	1.31772E+3	4.53046E+1	5.69765E+2
2.80000E-1	0.00000E+0	3.77688E+0	1.57408E+0	3.64044E+0	5.22860E-1	4.20900E+0	1.01390E+3	1.95880E+1	1.31779E+3	4.53021E+1	5.69797E+2
2.60000E-1	0.00000E+0	3.77719E+0	1.57415E+0	3.64047E+0	5.22979E-1	4.20900E+0	1.01390E+3	1.95873E+1	1.31784E+3	4.52988E+1	5.69838E+2
2.40000E-1	0.00000E+0	3.77715E+0	1.57420E+0	3.64057E+0	5.22916E-1	4.20900E+0	1.01390E+3	1.95881E+1	1.31779E+3	4.53005E+1	5.69817E+2
2.20000E-1	0.00000E+0	3.77723E+0	1.57418E+0	3.64061E+0	5.22921E-1	4.20900E+0	1.01390E+3	1.95874E+1	1.31784E+3	4.53000E+1	5.69823E+2
2.00000E-1	0.00000E+0	3.77722E+0	1.57416E+0	3.64072E+0	5.22948E-1	4.20900E+0	1.01390E+3	1.95872E+1	1.31785E+3	4.53016E+1	5.69804E+2
1.80000E-1	0.00000E+0	3.77663E+0	1.57402E+0	3.64057E+0	5.22965E-1	4.20900E+0	1.01390E+3	1.95886E+1	1.31775E+3	4.53066E+1	5.69740E+2
1.60000E-1	0.00000E+0	3.77749E+0	1.57415E+0	3.64047E+0	5.22917E-1	4.20900E+0	1.01390E+3	1.95857E+1	1.31795E+3	4.52951E+1	5.69885E+2
1.40000E-1	0.00000E+0	3.77666E+0	1.57397E+0	3.64037E+0	5.22968E-1	4.20900E+0	1.01390E+3	1.95878E+1	1.31781E+3	4.53038E+1	5.69775E+2
1.20000E-1	0.00000E+0	3.77787E+0	1.57420E+0	3.64070E+0	5.22959E-1	4.20900E+0	1.01400E+3	1.95844E+1	1.31804E+3	4.52935E+1	5.69905E+2
1.00000E-1	0.00000E+0	3.77561E+0	1.57369E+0	3.64026E+0	5.22867E-1	4.20900E+0	1.01390E+3	1.95898E+1	1.31767E+3	4.53151E+1	5.69633E+2
8.00000E-2	0.00000E+0	3.77791E+0	1.57419E+0	3.64079E+0	5.22984E-1	4.20900E+0	1.01400E+3	1.95842E+1	1.31805E+3	4.52941E+1	5.69898E+2
6.00000E-2	0.00000E+0	3.77779E+0	1.57409E+0	3.64061E+0	5.22900E-1	4.20900E+0	1.01400E+3	1.95835E+1	1.31810E+3	4.52933E+1	5.69908E+2
4.00000E-2	0.00000E+0	3.77770E+0	1.57410E+0	3.64075E+0	5.22909E-1	4.20900E+0	1.01400E+3	1.95840E+1	1.31807E+3	4.52962E+1	5.69872E+2
2.00000E-2	0.00000E+0	3.77662E+0	1.57378E+0	3.64048E+0	5.22787E-1	4.20900E+0	1.01400E+3	1.95857E+1	1.31795E+3	4.53059E+1	5.69750E+2
5.55654E-18	0.00000E+0	3.77773E+0	1.57403E+0	3.64054E+0	5.22863E-1	4.20900E+0	1.01400E+3	1.95830E+1	1.31813E+3	4.52932E+1	5.69909E+2
-2.00000E-2	0.00000E+0	3.77696E+0	1.57387E+0	3.64040E+0	5.22846E-1	4.20900E+0	1.01400E+3	1.95851E+1	1.31799E+3	4.53007E+1	5.69815E+2
-4.00000E-2	0.00000E+0	3.77756E+0	1.57399E+0	3.64047E+0	5.22850E-1	4.20900E+0	1.01400E+3	1.95834E+1	1.31811E+3	4.52943E+1	5.69895E+2
-6.00000E-2	0.00000E+0	3.77672E+0	1.57386E+0	3.64048E+0	5.22875E-1	4.20900E+0	1.01400E+3	1.95861E+1	1.31792E+3	4.53045E+1	5.69767E+2
-8.00000E-2	0.00000E+0	3.77728E+0	1.57400E+0	3.64057E+0	5.22864E-1	4.20900E+0	1.01400E+3	1.95850E+1	1.31800E+3	4.52989E+1	5.69837E+2
-1.00000E-1	0.00000E+0	3.77706E+0	1.57392E+0	3.64049E+0	5.22803E-1	4.20900E+0	1.01400E+3	1.95851E+1	1.31799E+3	4.53006E+1	5.69816E+2
-1.20000E-1	0.00000E+0	3.77780E+0	1.57414E+0	3.64066E+0	5.22902E-1	4.20900E+0	1.01400E+3	1.95840E+1	1.31806E+3	4.52937E+1	5.69902E+2
-1.40000E-1	0.00000E+0	3.77771E+0	1.57415E+0	3.64054E+0	5.22858E-1	4.20900E+0	1.01400E+3	1.95846E+1	1.31802E+3	4.52933E+1	5.69907E+2
-1.60000E-1	0.00000E+0	3.77748E+0	1.57416E+0	3.64057E+0	5.22835E-1	4.20900E+0	1.01400E+3	1.95860E+1	1.31793E+3	4.52966E+1	5.69866E+2
-1.80000E-1	0.00000E+0	3.77763E+0	1.57427E+0	3.64049E+0	5.22895E-1	4.20900E+0	1.01400E+3	1.95865E+1	1.31790E+3	4.52937E+1	5.69902E+2
-2.00000E-1	0.00000E+0	3.77758E+0	1.57429E+0	3.64059E+0	5.22838E-1	4.20900E+0	1.01400E+3	1.95870E+1	1.31786E+3	4.52956E+1	5.69879E+2
-2.20000E-1	0.00000E+0	3.77672E+0	1.57412E+0	3.64027E+0	5.22863E-1	4.20900E+0	1.01390E+3	1.95893E+1	1.31771E+3	4.53019E+1	5.69799E+2
-2.40000E-1	0.00000E+0	3.77699E+0	1.57426E+0	3.64051E+0	5.22929E-1	4.20900E+0	1.01390E+3	1.95897E+1	1.31768E+3	4.53017E+1	5.69802E+2
-2.60000E-1	0.00000E+0	3.77776E+0	1.57448E+0	3.64062E+0	5.22845E-1	4.20900E+0	1.01390E+3	1.95885E+1	1.31777E+3	4.52938E+1	5.69902E+2
-2.80000E-1	0.00000E+0	3.77767E+0	1.57444E+0	3.64055E+0	5.22942E-1	4.20900E+0	1.01390E+3	1.95884E+1	1.31777E+3	4.52940E+1	5.69899E+2
-3.00000E-1	0.00000E+0	3.77688E+0	1.57436E+0	3.64060E+0	5.22942E-1	4.20900E+0	1.01390E+3	1.95915E+1	1.31756E+3	4.53041E+1	5.69772E+2
-3.20000E-1	0.00000E+0	3.77647E+0	1.57419E+0	3.64029E+0	5.22874E-1	4.20900E+0	1.01380E+3	1.95915E+1	1.31756E+3	4.53051E+1	5.69759E+2
-3.40000E-1	0.00000E+0	3.77682E+0	1.57432E+0	3.64036E+0	5.22830E-1	4.20900E+0	1.01380E+3	1.95914E+1	1.31757E+3	4.53018E+1	5.69800E+2
-3.60000E-1	0.00000E+0	3.77654E+0	1.57440E+0	3.64054E+0	5.22876E-1	4.21000E+0	1.01380E+3	1.95938E+1	1.31741E+3	4.53074E+1	5.69731E+2
-3.80000E-1	0.00000E+0	3.77690E+0	1.57444E+0	3.64054E+0	5.22915E-1	4.21000E+0	1.01380E+3	1.95924E+1	1.31750E+3	4.53032E+1	5.69784E+2
-4.00000E-1	0.00000E+0	3.77674E+0	1.57440E+0	3.64040E+0	5.22931E-1	4.21000E+0	1.01380E+3	1.95927E+1	1.31748E+3	4.53034E+1	5.69781E+2
-4.20000E-1	0.00000E+0	3.77732E+0	1.57450E+0	3.64036E+0	5.22890E-1	4.21000E+0	1.01380E+3	1.95910E+1	1.31760E+3	4.52958E+1	5.69877E+2
